table,question,date,response,Total (a),Male (b),Female (c),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,1,-,1,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,1**,-**,1**,-**,-**,-**,1**,-**,-**,-**,-**,1**,1**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,1,-,1,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 11th to 13th September 2020,4,1,-,1,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 11th to 13th September 2020,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 11th to 13th September 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 11th to 13th September 2020,Mean,4,-,4,-,-,-,4,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,4,2,2,-,1,-,2,1,-,1,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,4**,2**,2**,-**,1**,-**,2**,1**,-**,1**,-**,3**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 29th to 31st May 2020,NET: Trust,3,2,1,-,-,-,2,1,-,1,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 29th to 31st May 2020,5 - Trust completely,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 29th to 31st May 2020,4,3,2,1,-,-,-,2,1,-,1,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 29th to 31st May 2020,3,1,-,1,-,1,-,-,-,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 29th to 31st May 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 29th to 31st May 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 29th to 31st May 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 29th to 31st May 2020,Mean,3.69,4,3.46,-,3,-,4,4,-,4,-,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,0.54,-,0.69,-,-,-,-,-,-,-,-,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2,2,-,-,1,-,-,1,-,1,-,1,2,-,-,-,-,-,,-,,-,-,,,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,1**,1**,-**,-**,1**,-**,-**,1**,-**,1**,-**,1**,1**,-**,-**,-**,-**,-**,,-**,,-**,-**,,,1**,-**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,1,1,-,-,1,-,-,1,-,1,-,1,1,-,-,-,-,-,,-,,-,-,,,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,1,1,-,-,1,-,-,1,-,1,-,1,1,-,-,-,-,-,,-,,-,-,,,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,5,5,-,-,5,-,-,5,-,5,-,5,5,-,-,-,-,-,,-,,-,-,,,5,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,2,1,-,-,-,-,-,-,2,-,-,-,-,2,-,,,,,,,,,,,,,,,,,,,
Table 83,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,1**,,,,,,,,,,,,,,,,,,,,,,,,,,,,1**,1**,1**,1**,1**,1**,-**,-**,-**,-**,-**,-**,1**,-**,-**,-**,-**,1**,-**,,,,,,,,,,,,,,,,,,,
Table 83,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,-,-,-,-,-,-,1,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,
Table 83,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,-,-,-,-,-,-,1,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,
Table 83,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
Table 83,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
Table 83,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
Table 83,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
Table 83,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
Table 83,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,-,-,-,-,-,-,5,-,-,-,-,5,-,,,,,,,,,,,,,,,,,,,
Table 83,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
Table 84,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,1,-,2,-,2,2,2,2,-,,,
Table 84,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,1**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-**,-**,-**,-**,-**,-**,-**,1**,-**,1**,-**,1**,1**,1**,1**,-**,,,
Table 84,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,1,-,1,-,1,1,1,1,-,,,
Table 84,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,1,-,1,-,1,1,1,1,-,,,
Table 84,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Table 84,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Table 84,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Table 84,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Table 84,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Table 84,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,5,-,5,-,5,5,5,5,-,,,
Table 84,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,1,1,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,1**,1**,-**,-**,-**,1**,-**,-**,-**,-**,1**,-**,1**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 5th to 11th April 2021,NET: Trust,1,1,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 5th to 11th April 2021,5 - Trust completely,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 5th to 11th April 2021,4,1,1,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 5th to 11th April 2021,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 5th to 11th April 2021,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 5th to 11th April 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 5th to 11th April 2021,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 5th to 11th April 2021,Mean,4,4,-,-,-,4,-,-,-,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 38,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 5th to 11th April 2021,Standard deviation Standard error,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,2,1,1,1,-,1,-,-,-,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,2**,1**,1**,1**,-**,1**,-**,-**,-**,-**,1**,1**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30,Q5. Trust in the sources for information/news about Coronavirus used in last week: BBC Alba,ONLINE Fieldwork: 5th to 7th June 2020,NET: Trust,2,1,1,1,-,1,-,-,-,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
