table,question,date,response,Total (a),Male (b),Female (c),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),16-24 (d),18-24 (e),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 5th to 11th April 2021,4,8,4,4,1,2,3,2,-,3,2,2,1,-,-,-,-,-,-,-,-,-,-,-,8,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 5th to 11th April 2021,3,2,1,1,1,-,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 5th to 11th April 2021,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 5th to 11th April 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 5th to 11th April 2021,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 5th to 11th April 2021,Mean,3.94,4.09,3.75,3.36,4,4,4.22,-,3.8,4,4.24,4,-,-,-,-,-,-,-,-,-,-,-,3.94,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 5th to 11th April 2021,Standard deviation Standard error,0.57,0.62,0.48,-,-,0.62,0.54,-,0.7,0,0.59,-,-,-,-,-,-,-,-,-,-,-,-,0.57,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,12,6,6,3,-,5,2,1,5,4,1,2,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,10**,6**,4**,2**,-**,4**,3**,1**,4**,3**,1**,3**,,,,,,,,,,,,,,1**,1**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 5th to 7th June 2020,NET: Trust,8,5,3,2,-,3,2,1,3,2,1,3,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 5th to 7th June 2020,5 - Trust completely,2,-,2,1,-,1,-,-,1,1,1,-,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 5th to 7th June 2020,4,6,5,1,1,-,2,2,1,2,1,-,3,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 5th to 7th June 2020,3,2,1,1,1,-,1,1,-,1,1,-,-,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 5th to 7th June 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 5th to 7th June 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 5th to 7th June 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 5th to 7th June 2020,Mean,4.01,3.87,4.19,4.1,-,4,3.68,4,3.98,3.8,5,4,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 5th to 7th June 2020,Standard deviation Standard error,0.69,0.37,1.02,1.02,-,0.75,0.6,-,0.76,0.99,-,0,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,11,6,5,3,3,2,2,1,3,3,4,1,-,-,-,-,-,-,-,-,-,-,-,11,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,8**,4**,3**,2**,2**,1**,2**,1**,2**,2**,3**,***,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,8**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 12th to 14th March 2021,NET: Trust,3,1,3,1,1,-,1,1,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 12th to 14th March 2021,5 - Trust completely,1,-,1,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 12th to 14th March 2021,4,3,1,2,1,1,-,-,1,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 12th to 14th March 2021,3,4,3,1,*,1,1,1,-,1,1,1,*,-,-,-,-,-,-,-,-,-,-,-,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 12th to 14th March 2021,2,1,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 12th to 14th March 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 12th to 14th March 2021,NET: Do not trust,1,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 12th to 14th March 2021,Mean,3.46,3.04,3.98,3.3,3.51,3,3.76,4,3.08,3.74,3.57,3,-,-,-,-,-,-,-,-,-,-,-,3.46,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 12th to 14th March 2021,Standard deviation Standard error,0.81,0.62,0.77,1.16,-,-,-,-,-,-,0.59,-,-,-,-,-,-,-,-,-,-,-,-,0.81,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,12,6,6,2,1,5,1,-,3,4,2,3,-,-,-,-,-,-,-,-,-,-,-,12,-,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,12**,7**,5**,2**,1**,4**,1**,-**,2**,4**,2**,3**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,12**,-**,4**,4**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 6th to 8th November 2020,NET: Trust,7,4,3,1,1,3,1,-,1,2,1,3,-,-,-,-,-,-,-,-,-,-,-,7,-,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 6th to 8th November 2020,5 - Trust completely,3,-,3,1,1,*,1,-,*,2,-,1,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 6th to 8th November 2020,4,4,4,-,-,-,3,-,-,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,4,-,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 6th to 8th November 2020,3,4,2,3,2,-,1,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,4,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 6th to 8th November 2020,2,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 6th to 8th November 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 6th to 8th November 2020,NET: Do not trust,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 6th to 8th November 2020,Mean,3.7,3.48,3.99,3.56,5,3.82,5,-,3.27,3.76,3.38,4.19,-,-,-,-,-,-,-,-,-,-,-,3.7,-,3.15,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 6th to 8th November 2020,Standard deviation Standard error,0.94,0.8,1.11,1.23,-,0.67,-,-,1.68,1.11,0.63,0.48,-,-,-,-,-,-,-,-,-,-,-,0.94,-,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,10,4,6,3,2,1,3,-,2,4,1,3,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,9**,4**,5**,3**,2**,1**,2**,-**,2**,2**,2**,3**,,,,,,,,,,,,,,1**,1**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 12th to 15th June 2020,NET: Trust,9,4,5,3,2,1,2,-,2,2,2,3,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 12th to 15th June 2020,5 - Trust completely,5,1,4,1,-,1,2,-,1,1,-,3,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 12th to 15th June 2020,4,4,3,*,2,2,-,-,-,1,1,2,-,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 12th to 15th June 2020,3,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 12th to 15th June 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 12th to 15th June 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 12th to 15th June 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 12th to 15th June 2020,Mean,4.56,4.15,4.9,4.34,4,5,5,-,4.31,4.61,4,5,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 12th to 15th June 2020,Standard deviation Standard error,0.53,0.41,0.33,0.59,0,-,-,-,-,0.65,-,0,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 4th to 6th June 2021,Unweighted base,6,1,5,-,3,2,1,-,2,1,1,2,-,-,-,-,-,-,-,-,-,-,-,6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 4th to 6th June 2021,Weighted base,6**,1**,4**,-**,2**,3**,***,-**,2**,1**,1**,2**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,6**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 4th to 6th June 2021,NET: Trust,4,-,4,-,2,1,*,-,2,1,1,1,-,-,-,-,-,-,-,-,-,-,-,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 4th to 6th June 2021,5 - Trust completely,2,-,2,-,1,1,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 4th to 6th June 2021,4,2,-,2,-,2,-,*,-,*,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 4th to 6th June 2021,3,1,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 4th to 6th June 2021,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 4th to 6th June 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 4th to 6th June 2021,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 4th to 6th June 2021,Mean,4.18,3,4.5,-,4.29,4.12,4,-,4.76,4,4,3.73,-,-,-,-,-,-,-,-,-,-,-,4.18,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 4th to 6th June 2021,Standard deviation Standard error,0.84,-,0.57,-,0.6,1.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.84,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,9,2,7,4,3,-,1,1,1,5,2,1,-,-,-,-,-,-,-,-,-,-,-,9,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Cool FM,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,7**,2**,5**,2**,4**,-**,1**,1**,***,4**,3**,1**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,7**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-**,-**,-**
