table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),South East (x),South West (y),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,103,46,57,11,8,19,17,18,14,24,20,28,24,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,99*,48*,51*,13**,10**,20**,14**,16**,13**,23**,19**,33**,22**,25**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,NET: More,40,17,23,7,5,11,5,6,5,6,14,10,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,A lot more          (+3),16,7,9,3,2,7,3,-,1,2,7,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,A little more       (+2),24,10,14,3,3,4,2,6,4,5,7,7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,About the same      (+1),48,23,25,4,3,9,8,6,7,14,6,19,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Don't use            (0),11,8,3,3,2,-,2,3,1,2,-,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Mean,1.46,1.34,1.59,1.55,1.61,1.9,1.46,1.18,1.38,1.28,2.04,1.26,1.43,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.9,0.93,0.86,1.13,1.05,0.92,1.02,0.79,0.77,0.72,0.83,0.79,0.84,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,107,60,47,11,9,17,20,18,18,23,26,29,20,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,101*,54*,47*,6**,5**,21**,17**,21**,17**,19**,22**,24**,27**,28**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,NET: More,44,20,23,4,3,7,8,10,5,9,12,9,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,A lot more          (+3),16,7,10,2,-,4,4,4,2,1,3,2,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,A little more       (+2),27,14,14,3,3,2,5,7,3,8,9,7,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,About the same      (+1),41,24,17,2,2,11,6,7,8,6,8,10,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,Don't use            (0),17,10,7,-,-,3,3,3,4,4,2,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,Mean,1.43,1.32,1.56,1.9,1.56,1.39,1.56,1.53,1.17,1.31,1.58,1.2,1.31,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,Standard deviation Standard error,0.95,0.91,0.99,0.82,0.56,1,1.01,0.98,0.93,0.9,0.87,0.88,0.99,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,112,56,56,12,8,18,21,26,11,24,29,27,23,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,97*,50*,47*,13**,8**,16**,14**,21**,12**,21**,24**,25**,19**,29**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 15th to 17th May 2020,NET: More,44,20,24,7,4,9,6,10,8,4,14,7,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 15th to 17th May 2020,A lot more          (+3),22,9,13,5,3,3,1,7,4,1,5,5,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 15th to 17th May 2020,A little more       (+2),22,11,11,2,1,6,5,3,3,3,8,2,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 15th to 17th May 2020,About the same      (+1),40,22,18,3,3,6,7,9,3,13,8,11,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 15th to 17th May 2020,Don't use            (0),12,8,5,3,1,1,1,2,2,4,2,7,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 15th to 17th May 2020,Mean,1.56,1.43,1.69,1.76,1.68,1.76,1.43,1.73,1.81,1.03,1.72,1.25,1.62,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 15th to 17th May 2020,Standard deviation Standard error,0.98,0.97,0.99,1.25,1.21,0.86,0.71,1.06,1.14,0.72,0.91,1.09,1.04,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,100,55,45,12,8,13,16,22,15,22,19,32,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,101*,59*,42*,13**,8**,14**,16**,21**,16**,21**,22**,33**,25**,21**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,NET: More,36,17,19,7,4,4,3,7,7,8,9,10,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,A lot more          (+3),9,3,7,3,2,1,1,3,1,1,2,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,A little more       (+2),27,14,13,4,3,3,3,5,6,7,7,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,About the same      (+1),45,28,17,2,2,5,7,13,7,10,9,17,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,Don't use            (0),20,15,5,4,1,5,5,1,2,3,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,Mean,1.26,1.08,1.51,1.44,1.67,1.08,0.93,1.42,1.4,1.24,1.26,1.24,1.41,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,0.88,0.83,0.9,1.16,1.02,1,0.88,0.77,0.81,0.78,0.91,0.85,0.94,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,104,54,50,14,10,15,16,12,13,34,25,25,20,34,-,-,-,-,-,104,-,-,-,14,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,99*,51*,48*,16**,12**,12**,13**,13**,12**,32*,21**,26**,20**,32**,-**,-**,-**,-**,-**,99*,-**,-**,-**,12**,27**,8**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,NET: More,38,18,20,10,8,5,6,5,5,6,11,8,5,14,-,-,-,-,-,38,-,-,-,2,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A lot more          (+3),16,8,7,4,2,4,2,1,3,2,6,3,3,4,-,-,-,-,-,16,-,-,-,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A little more       (+2),22,9,13,7,6,1,4,5,2,3,5,5,2,10,-,-,-,-,-,22,-,-,-,1,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,About the same      (+1),47,27,20,5,3,5,6,7,4,20,5,15,13,14,-,-,-,-,-,47,-,-,-,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Don't use            (0),14,6,8,1,1,3,1,1,2,6,5,4,1,4,-,-,-,-,-,14,-,-,-,1,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.4,1.4,1.4,1.82,1.78,1.47,1.6,1.4,1.49,1.05,1.56,1.28,1.38,1.42,-,-,-,-,-,1.4,-,-,-,1.21,1.54,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.92,0.91,0.94,0.88,0.88,1.16,0.89,0.72,1.13,0.77,1.13,0.88,0.82,0.88,-,-,-,-,-,0.92,-,-,-,0.78,1.01,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,104,,,,,,,,,,,,,,,,,,,,,,,,,,88,58,76,29,30,31,10,26,7,7,31,26,92,3,36,11,1,41,27,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,99*,,,,,,,,,,,,,,,,,,,,,,,,,,85*,58*,72*,27**,28**,28**,9**,24**,6**,6**,26**,22**,88*,2**,37*,8**,1**,38*,25**,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,NET: More,38,,,,,,,,,,,,,,,,,,,,,,,,,,35,24,30,14,14,20,7,15,5,5,14,12,35,1,13,5,-,19,7,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A lot more          (+3),16,,,,,,,,,,,,,,,,,,,,,,,,,,15,9,14,6,8,10,4,7,2,3,7,7,15,-,5,2,-,9,1,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A little more       (+2),22,,,,,,,,,,,,,,,,,,,,,,,,,,20,16,16,8,6,10,3,9,3,2,7,5,21,1,8,3,-,10,6,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,About the same      (+1),47,,,,,,,,,,,,,,,,,,,,,,,,,,38,24,35,7,11,7,1,7,1,1,10,9,39,1,22,4,-,17,14,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Don't use            (0),14,,,,,,,,,,,,,,,,,,,,,,,,,,12,9,7,5,2,1,1,2,-,1,2,1,14,1,2,-,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,1.41,1.51,1.58,1.74,2,2.13,1.82,2.26,2.11,1.69,1.82,1.41,0.96,1.43,1.82,0,1.7,1.14,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,0.95,0.92,1.08,1,0.92,1.03,0.96,0.74,1.12,0.98,0.94,0.95,1.14,0.8,0.86,-,0.89,0.79,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,12,10,11,12,8,8,28,36,31,23,79,17,94,100,103,104,-,,,,,,
Table 65,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,99*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7**,12**,10**,9**,11**,8**,7**,25**,33*,28**,18**,74*,15**,90*,96*,98*,99*,-**,,,,,,
Table 65,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,NET: More,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,6,5,5,1,4,13,11,8,9,32,7,34,37,38,38,-,,,,,,
Table 65,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A lot more          (+3),16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,*,-,2,3,*,1,5,6,3,4,14,3,13,16,16,16,-,,,,,,
Table 65,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,A little more       (+2),22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,3,2,1,3,9,5,5,5,17,3,21,21,22,22,-,,,,,,
Table 65,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,About the same      (+1),47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,4,5,6,6,3,10,18,17,6,36,8,42,46,46,47,-,,,,,,
Table 65,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Don't use            (0),14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,2,4,3,3,7,1,14,14,14,14,-,,,,,,
Table 65,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,1.59,1.62,1.67,1.68,1.24,1.67,1.66,1.39,1.28,1.57,1.52,1.59,1.37,1.4,1.41,1.4,-,,,,,,
Table 65,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.59,0.51,0.79,0.87,0.58,0.77,0.88,0.94,0.82,1.07,0.91,0.91,0.92,0.93,0.92,0.92,-,,,,,,
Table 22,Q4c. Use of types of media organisations: Wales-wide media organisations,ONLINE Fieldwork: 3rd to 5th April 2020,Unweighted base,107,51,56,15,11,21,9,16,20,26,18,31,21,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
