table,question,date,response,Total (a),Male (b),Female (c),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),16-24 (d),18-24 (e),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,13,5,8,-,1,4,2,6,8,3,1,1,-,-,-,-,-,-,-,-,-,-,-,13,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,12**,5**,8**,-**,1**,3**,1**,7**,6**,4**,1**,2**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,12**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,11,5,6,-,1,3,1,6,6,2,1,2,-,-,-,-,-,-,-,-,-,-,-,11,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,6,2,4,-,1,2,1,3,3,1,1,2,-,-,-,-,-,-,-,-,-,-,-,6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,4,5,2,2,-,-,1,1,3,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,3,2,-,2,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,Mean,4.39,4.5,4.33,-,5,4.7,4.5,4.17,4.49,3.73,5,5,-,-,-,-,-,-,-,-,-,-,-,4.39,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,0.72,0.57,0.83,-,-,0.58,-,0.8,0.55,0.84,-,*,-,-,-,-,-,-,-,-,-,-,-,0.72,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,21,15,6,3,5,6,5,2,11,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,19**,14**,5**,3**,6**,5**,4**,2**,10**,4**,3**,2**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,NET: Trust,16,13,3,2,6,5,2,2,8,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,5 - Trust completely,5,4,1,2,1,-,1,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,4,11,9,2,-,4,5,2,-,7,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,3,3,1,1,1,-,-,1,-,3,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,Mean,4.15,4.23,3.88,4.16,4.26,4,3.79,5,3.81,4.45,4.75,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 59,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,0.65,0.6,0.79,1.25,0.48,0,0.8,-,0.56,0.58,0.54,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 169,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,11,4,7,1,2,5,-,3,4,2,1,4,,-,-,-,-,-,,-,,-,-,11,,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 169,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,11**,4**,7**,1**,1**,6**,-**,2**,4**,2**,1**,4**,,-**,-**,-**,-**,-**,,-**,,-**,-**,11**,,4**,2**,2**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 169,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,9,4,6,1,1,5,-,1,4,2,1,2,,-,-,-,-,-,,-,,-,-,9,,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 169,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,7,2,5,1,1,4,-,-,3,1,1,1,,-,-,-,-,-,,-,,-,-,7,,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 169,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,4,3,2,1,-,-,1,-,1,1,1,-,*,,-,-,-,-,-,,-,,-,-,3,,-,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 169,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,3,2,-,2,-,-,1,-,1,-,-,-,2,,-,-,-,-,-,,-,,-,-,2,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 169,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,,-,-,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 169,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,,-,-,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 169,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,,-,-,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 169,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,4.43,4.59,4.35,5,5,4.47,-,3.65,4.73,4.56,5,3.8,,-,-,-,-,-,,-,,-,-,4.43,,5,4.32,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 169,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.8,0.57,0.92,-,-,0.85,-,0.64,0.51,0.66,-,1.08,,-,-,-,-,-,,-,,-,-,0.8,,0,0.62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 170,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7,7,5,11,4,-,4,-,-,5,4,10,-,4,-,-,2,5,,,,,,,,,,,,,,,,,,,,,,
Table 170,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,11**,,,,,,,,,,,,,,,,,,,,,,,,,,,,10**,8**,7**,5**,11**,4**,-**,4**,-**,-**,5**,5**,10**,-**,4**,-**,-**,2**,6**,,,,,,,,,,,,,,,,,,,,,,
Table 170,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,5,4,9,4,-,4,-,-,5,5,8,-,2,-,-,2,5,,,,,,,,,,,,,,,,,,,,,,
Table 170,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,3,2,7,3,-,3,-,-,4,4,6,-,2,-,-,2,4,,,,,,,,,,,,,,,,,,,,,,
Table 170,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,3,*,-,*,-,-,2,1,3,-,-,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,
Table 170,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,2,-,-,-,-,-,-,-,2,-,2,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,
Table 170,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Table 170,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Table 170,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Table 170,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.37,4.42,4.21,4.25,4.43,4.88,-,4.88,-,-,4.69,4.76,4.37,-,4.03,-,-,5,4.56,,,,,,,,,,,,,,,,,,,,,,
Table 170,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,0.79,0.92,0.8,0.8,0.37,-,0.37,-,-,0.51,0.48,0.82,-,1.16,-,-,0,0.79,,,,,,,,,,,,,,,,,,,,,,
Table 171,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,1,-,1,-,2,2,4,2,11,1,11,10,10,11,-,,,,,
Table 171,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,11**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-**,-**,1**,-**,1**,-**,3**,2**,4**,3**,11**,1**,11**,10**,10**,11**,-**,,,,,
Table 171,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,1,-,1,-,3,*,4,2,9,-,9,8,9,9,-,,,,,
Table 171,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,1,-,-,-,3,-,2,2,7,-,7,7,7,7,-,,,,,
Table 171,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,1,-,-,*,2,-,3,-,3,1,3,3,-,,,,,
Table 171,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,1,-,1,2,1,2,2,1,2,-,,,,,
Table 171,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
Table 171,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
Table 171,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
Table 171,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,5,-,4,-,5,3.29,4.59,4.16,4.43,3,4.43,4.48,4.59,4.43,-,,,,,
Table 171,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,0,-,0.57,1.25,0.8,-,0.8,0.83,0.66,0.8,-,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,11,5,6,1,3,1,5,1,5,-,2,4,-,-,-,-,-,-,-,-,-,-,-,11,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,8**,3**,5**,1**,2**,1**,3**,1**,3**,-**,1**,4**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,8**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 5th to 11th April 2021,NET: Trust,4,1,3,1,1,1,2,-,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 5th to 11th April 2021,5 - Trust completely,2,1,1,-,1,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
