table,question,date,response,Total (a),Male (b),Female (c),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),16-24 (d),18-24 (e),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,NET: Trust,9,5,5,2,2,2,1,1,2,3,3,1,-,-,-,-,-,-,-,-,-,-,-,9,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,5 - Trust completely,3,1,3,1,1,1,-,1,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,4,6,4,2,1,1,1,1,1,2,1,2,1,-,-,-,-,-,-,-,-,-,-,-,6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,3,1,-,1,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,2,*,*,-,*,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,NET: Do not trust,*,*,-,*,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,Mean,4.12,3.98,4.23,4.04,4.48,4.36,3.59,4.02,3.37,4.62,4.28,4.4,-,-,-,-,-,-,-,-,-,-,-,4.12,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 4th to 6th December 2020,Standard deviation Standard error,0.8,0.79,0.85,1.22,0.66,0.65,-,-,0.83,0.58,0.56,-,-,-,-,-,-,-,-,-,-,-,-,0.8,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 64,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,16,5,11,1,4,6,4,1,5,7,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,13**,4**,9**,***,3**,6**,2**,1**,4**,5**,3**,1**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,NET: Trust,8,2,6,*,2,4,1,-,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,5 - Trust completely,3,1,2,-,1,2,1,-,1,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,4,5,1,4,*,2,3,1,-,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,3,5,2,3,-,1,2,1,1,2,3,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,Mean,3.86,3.74,3.92,4,3.93,3.95,4,3,3.77,3.39,4.32,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 64,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 19th to 21st June 2020,Standard deviation Standard error,0.79,0.91,0.78,-,0.87,0.82,-,-,0.86,0.55,0.6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,16,11,5,2,7,2,3,2,6,7,-,3,-,-,-,-,-,-,-,-,-,-,-,16,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,19**,14**,5**,3**,8**,3**,3**,2**,7**,8**,-**,4**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,19**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,NET: Trust,14,10,4,-,8,3,1,2,5,6,-,2,-,-,-,-,-,-,-,-,-,-,-,14,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,5 - Trust completely,6,3,3,-,3,3,-,1,3,1,-,2,-,-,-,-,-,-,-,-,-,-,-,6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,4,7,6,1,-,4,-,1,1,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,3,4,3,1,2,1,-,2,-,1,2,-,1,-,-,-,-,-,-,-,-,-,-,-,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,2,1,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,NET: Do not trust,1,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,Mean,4.01,3.86,4.4,2.6,4.33,5,3.43,4.33,3.96,3.91,-,4.33,-,-,-,-,-,-,-,-,-,-,-,4.01,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 15th to 17th January 2021,Standard deviation Standard error,0.92,0.9,0.94,0.62,0.64,0,0.59,-,1.12,0.71,-,1.11,-,-,-,-,-,-,-,-,-,-,-,0.92,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th February 2021,Unweighted base,11,6,5,2,2,2,2,3,6,3,2,-,-,-,-,-,-,-,-,-,-,-,-,11,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th February 2021,Weighted base,10**,7**,3**,3**,1**,2**,2**,2**,5**,3**,2**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,10**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th February 2021,NET: Trust,9,7,3,3,1,2,2,2,5,2,2,-,-,-,-,-,-,-,-,-,-,-,-,9,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th February 2021,5 - Trust completely,3,*,2,1,1,-,*,*,1,*,1,-,-,-,-,-,-,-,-,-,-,-,-,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th February 2021,4,7,6,1,2,-,2,1,1,4,2,1,-,-,-,-,-,-,-,-,-,-,-,-,7,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th February 2021,3,1,-,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th February 2021,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th February 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th February 2021,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th February 2021,Mean,4.2,4.07,4.48,4.35,4.04,4,4.28,4.2,4.21,3.93,4.68,-,-,-,-,-,-,-,-,-,-,-,-,4.2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 68,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 12th to 14th February 2021,Standard deviation Standard error,0.55,0.28,0.94,0.58,-,0,-,-,0.45,0.68,-,-,-,-,-,-,-,-,-,-,-,-,-,0.55,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 7th to 9th August 2020,Unweighted base,14,3,11,1,2,3,6,2,8,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 7th to 9th August 2020,Weighted base,13**,4**,9**,1**,2**,3**,6**,2**,6**,2**,1**,4**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 7th to 9th August 2020,NET: Trust,12,4,8,1,2,3,5,2,6,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 7th to 9th August 2020,5 - Trust completely,3,-,3,-,-,2,1,-,1,1,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 7th to 9th August 2020,4,9,4,5,1,2,1,4,2,4,1,-,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 7th to 9th August 2020,3,1,-,1,-,-,-,1,-,1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 7th to 9th August 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 7th to 9th August 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 7th to 9th August 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 7th to 9th August 2020,Mean,4.15,4,4.22,4,4,4.54,4.06,4,4.07,4.29,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 66,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 7th to 9th August 2020,Standard deviation Standard error,0.52,0,0.63,-,-,0.61,0.63,-,0.6,-,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 9th to 11th October 2020,Unweighted base,20,8,12,2,5,5,3,5,3,10,2,5,-,-,-,-,-,-,-,-,-,-,-,20,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,19**,8**,11**,2**,5**,5**,3**,4**,4**,9**,2**,5**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,19**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 9th to 11th October 2020,NET: Trust,15,7,7,-,5,4,2,3,4,5,2,4,-,-,-,-,-,-,-,-,-,-,-,15,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 9th to 11th October 2020,5 - Trust completely,11,6,5,-,4,4,1,3,2,5,2,2,-,-,-,-,-,-,-,-,-,-,-,11,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 9th to 11th October 2020,4,3,1,2,-,1,-,1,1,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 9th to 11th October 2020,3,3,-,3,2,1,-,-,*,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 9th to 11th October 2020,2,2,1,1,-,-,1,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 9th to 11th October 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 9th to 11th October 2020,NET: Do not trust,2,1,1,-,-,1,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 9th to 11th October 2020,Mean,4.23,4.5,4.04,3,4.52,4.46,3.66,4.56,4.65,3.96,5,4.1,-,-,-,-,-,-,-,-,-,-,-,4.23,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 67,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 9th to 11th October 2020,Standard deviation Standard error,1.06,1.03,1.09,-,0.79,1.29,1.45,0.81,0.56,1.36,0,0.87,-,-,-,-,-,-,-,-,-,-,-,1.06,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
