table,question,date,response,Total (a),Male (b),Female (c),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),16-24 (d),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,7,2,5,-,1,2,2,2,5,1,-,1,-,-,-,-,-,-,-,-,-,-,-,7,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,6**,2**,4**,-**,1**,2**,1**,2**,4**,1**,-**,1**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,6**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,6,2,4,-,1,2,1,2,4,1,-,1,-,-,-,-,-,-,-,-,-,-,-,6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,1,-,1,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 11th to 13th September 2020,4,5,2,3,-,1,1,1,2,4,-,-,1,-,-,-,-,-,-,-,-,-,-,-,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 11th to 13th September 2020,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 11th to 13th September 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 11th to 13th September 2020,Mean,4.14,4,4.21,-,4,4.46,4,4,4,5,-,4,-,-,-,-,-,-,-,-,-,-,-,4.14,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,0.39,-,0.46,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.39,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,5,4,1,-,1,2,1,-,3,1,1,-,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,6**,5**,1**,-**,1**,2**,1**,-**,3**,1**,1**,-**,,,,,,,,,,,,,,1**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 29th to 31st May 2020,NET: Trust,4,4,-,-,1,1,-,-,3,1,-,-,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 29th to 31st May 2020,5 - Trust completely,1,1,-,-,-,1,-,-,-,1,-,-,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 29th to 31st May 2020,4,3,3,-,-,1,-,-,-,3,-,-,-,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 29th to 31st May 2020,3,1,1,1,-,-,1,1,-,1,-,1,-,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 29th to 31st May 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 29th to 31st May 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 29th to 31st May 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 29th to 31st May 2020,Mean,3.99,4.15,3,-,4,4.33,3,-,3.79,5,3,-,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,0.79,0.72,-,-,-,1.3,-,-,0.48,-,-,-,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,6,2,4,1,1,1,3,,2,1,2,1,,-,-,-,-,-,,-,,-,-,6,,,-,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,7**,2**,5**,1**,1**,1**,4**,,2**,2**,2**,1**,,-**,-**,-**,-**,-**,,-**,,-**,-**,7**,,,-**,3**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,7,2,5,1,1,1,4,,2,2,2,1,,-,-,-,-,-,,-,,-,-,7,,,-,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,-,-,-,-,-,-,-,,-,-,-,-,,-,-,-,-,-,,-,,-,-,-,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,4,7,2,5,1,1,1,4,,2,2,2,1,,-,-,-,-,-,,-,,-,-,7,,,-,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,3,-,-,-,-,-,-,-,,-,-,-,-,,-,-,-,-,-,,-,,-,-,-,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,2,-,-,-,-,-,-,-,,-,-,-,-,,-,-,-,-,-,,-,,-,-,-,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,-,-,-,-,-,-,-,,-,-,-,-,,-,-,-,-,-,,-,,-,-,-,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,-,-,-,-,-,-,-,,-,-,-,-,,-,-,-,-,-,,-,,-,-,-,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,4,4,4,4,4,4,4,,4,4,4,4,,-,-,-,-,-,,-,,-,-,4,,,-,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0,-,0,-,-,-,0,,0,-,-,-,,-,-,-,-,-,,-,,-,-,0,,,-,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 110,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,1,1,1,1,1,-,-,1,2,6,-,3,-,-,1,2,,,,,,,,,,,,,,,,,,,,,
Table 110,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,7**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7**,7**,7**,1**,1**,1**,1**,1**,-**,-**,1**,2**,7**,-**,4**,-**,-**,1**,3**,,,,,,,,,,,,,,,,,,,,,
Table 110,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,1,1,1,1,1,-,-,1,2,7,-,4,-,-,1,3,,,,,,,,,,,,,,,,,,,,,
Table 110,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,
Table 110,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,1,1,1,1,1,-,-,1,2,7,-,4,-,-,1,3,,,,,,,,,,,,,,,,,,,,,
Table 110,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,
Table 110,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,
Table 110,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,
Table 110,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,
Table 110,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,-,-,4,4,4,-,4,-,-,4,4,,,,,,,,,,,,,,,,,,,,,
Table 110,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-,-,-,-,-,-,-,-,0,0,-,0,-,-,-,0,,,,,,,,,,,,,,,,,,,,,
Table 111,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,-,2,1,1,2,2,1,1,5,3,5,6,5,6,-,,,
Table 111,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,7**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1**,1**,1**,-**,2**,1**,1**,2**,2**,2**,1**,5**,3**,6**,7**,6**,7**,-**,,,
Table 111,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,-,2,1,1,2,2,2,1,5,3,6,7,6,7,-,,,
Table 111,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Table 111,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,-,2,1,1,2,2,2,1,5,3,6,7,6,7,-,,,
Table 111,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Table 111,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Table 111,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Table 111,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Table 111,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,-,4,4,4,4,4,4,4,4,4,4,4,4,4,-,,,
Table 111,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,0,-,-,-,0,-,-,0,0,0,0,0,0,-,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,4,1,3,-,-,1,1,2,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,3**,1**,2**,-**,-**,1**,1**,2**,1**,1**,1**,1**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,3**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 5th to 11th April 2021,NET: Trust,2,-,2,-,-,-,1,2,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: RTÉ,ONLINE Fieldwork: 5th to 11th April 2021,5 - Trust completely,1,-,1,-,-,-,1,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
