table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 317,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Not closely,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,10,11,5,6,3,3,3,-,-,2,5,15,-,2,4,-,4,3,,,,,,,,,,,,,,,,,,,,,,,,
Table 317,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,1.63,1.66,1.64,1.67,1.76,1.36,1.77,1.77,1.87,1.7,1.62,1.65,2,1.73,1.44,1.63,1.67,1.73,,,,,,,,,,,,,,,,,,,,,,,,
Table 317,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.8,0.76,0.82,0.79,0.62,1.08,0.61,0.44,0.34,0.63,0.87,0.77,0,0.58,1.03,0.52,0.69,0.65,,,,,,,,,,,,,,,,,,,,,,,,
Table 318,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,27,24,19,44,18,19,117,124,111,58,288,67,329,341,350,361,-,,,,,,
Table 318,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25**,27**,22**,16**,40*,16**,16**,104,114,106*,51*,267,63*,306,320,327,337,-**,,,,,,
Table 318,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Closely,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,27,21,16,36,15,15,101,106,100,45,255,57,297,320,316,320,-,,,,,,
Table 318,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Very closely        (+2),253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,17,13,14,27,11,10,76,81,76,29,210,43,237,253,253,253,-,,,,,,
Table 318,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Fairly closely      (+1),67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,9,3,9,3,5,25,25,24,16,45,13,60,67,64,67,-,,,,,,
Table 318,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Not very closely    (-1),13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,1,-,2,1,1,3,8,4,5,9,6,6,-,7,13,-,,,,,,
Table 318,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Not at all closely  (-2),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,2,-,-,-,1,1,1,4,-,2,-,4,4,-,,,,,,
Table 318,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Not closely,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,1,-,4,1,1,3,8,6,6,12,6,8,-,11,17,-,,,,,,
Table 318,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.63,1.48,1.83,1.42,1.6,1.52,1.67,1.56,1.6,1.32,1.68,1.49,1.72,1.79,1.7,1.64,-,,,,,,
Table 318,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.49,0.74,0.39,1.11,0.82,0.82,0.63,0.86,0.79,1.01,0.76,0.93,0.64,0.41,0.69,0.78,-,,,,,,
Table 82,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 3rd to 5th April 2020,Unweighted base,2125,1067,1058,274,243,347,295,365,334,510,516,606,460,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 3rd to 5th April 2020,Weighted base,2125,1039,1086,293,259,354,329,365,306,477,578,599,431,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Closely,2059,991,1069,283,249,337,317,350,299,473,563,579,418,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 3rd to 5th April 2020,Very closely        (+2),1749,794,955,224,194,268,259,303,260,435,474,484,357,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 3rd to 5th April 2020,Fairly closely      (+1),310,197,114,60,55,69,57,47,39,38,89,95,61,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 3rd to 5th April 2020,Not very closely    (-1),42,31,11,5,5,15,7,10,3,3,9,15,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 3rd to 5th April 2020,Not at all closely  (-2),24,18,6,5,5,3,6,5,4,1,6,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 3rd to 5th April 2020,NET: Not closely,66,49,17,10,10,17,12,15,7,4,15,20,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 3rd to 5th April 2020,Mean,1.75,1.65,1.84,1.68,1.66,1.65,1.69,1.73,1.79,1.89,1.76,1.73,1.75,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 3rd to 5th April 2020,Standard deviation Standard error,0.66,0.78,0.51,0.72,0.75,0.75,0.74,0.73,0.61,0.4,0.64,0.67,0.67,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 7th to 10th May 2020,Unweighted base,2127,1045,1082,274,243,371,302,348,332,500,694,595,365,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 7th to 10th May 2020,Weighted base,2127,1040,1087,293,254,355,329,366,306,477,579,600,432,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 7th to 10th May 2020,NET: Closely,2049,993,1056,281,242,337,314,348,301,469,558,581,412,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 7th to 10th May 2020,Very closely        (+2),1650,780,870,214,179,254,247,278,260,396,452,465,318,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 7th to 10th May 2020,Fairly closely      (+1),399,213,186,66,63,83,67,70,40,73,106,116,94,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 7th to 10th May 2020,Not very closely    (-1),54,35,18,9,9,11,12,10,4,7,15,14,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 7th to 10th May 2020,Not at all closely  (-2),24,11,13,4,4,7,3,7,2,1,6,5,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 7th to 10th May 2020,NET: Not closely,78,47,31,13,13,18,16,17,6,8,21,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 7th to 10th May 2020,Mean,1.69,1.65,1.73,1.63,1.59,1.59,1.64,1.65,1.8,1.8,1.7,1.7,1.63,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 7th to 10th May 2020,Standard deviation Standard error,0.71,0.75,0.66,0.75,0.79,0.82,0.76,0.79,0.56,0.52,0.7,0.67,0.77,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 89,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 24th to 26th April 2020,Unweighted base,2106,1041,1065,269,238,331,326,350,327,503,544,621,393,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 89,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 24th to 26th April 2020,Weighted base,2106,1030,1076,291,256,351,326,362,303,472,573,594,427,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 89,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 24th to 26th April 2020,NET: Closely,2027,976,1051,272,238,335,311,345,296,468,562,568,405,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 89,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 24th to 26th April 2020,Very closely        (+2),1648,745,903,215,186,249,250,274,251,409,468,447,323,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 89,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 24th to 26th April 2020,Fairly closely      (+1),380,231,148,57,53,86,61,72,44,59,94,120,82,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 89,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 24th to 26th April 2020,Not very closely    (-1),63,42,21,17,17,12,12,13,8,2,7,18,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 89,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 24th to 26th April 2020,Not at all closely  (-2),16,12,4,1,1,5,3,4,-,3,4,8,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 89,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 24th to 26th April 2020,NET: Not closely,79,54,25,18,17,17,15,17,8,5,11,26,22,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 89,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 24th to 26th April 2020,Mean,1.7,1.61,1.79,1.61,1.59,1.6,1.66,1.65,1.78,1.84,1.77,1.65,1.64,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 89,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 24th to 26th April 2020,Standard deviation Standard error,0.69,0.79,0.57,0.8,0.81,0.78,0.75,0.75,0.57,0.47,0.58,0.75,0.77,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 1st to 3rd May 2020,Unweighted base,2150,1042,1108,267,235,319,335,394,327,508,681,626,336,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 1st to 3rd May 2020,Weighted base,2150,1051,1099,297,260,359,333,370,310,481,585,606,436,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Closely,2076,994,1082,287,251,343,308,358,305,475,567,579,423,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 1st to 3rd May 2020,Very closely        (+2),1673,756,917,220,190,258,244,290,250,411,449,465,338,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 1st to 3rd May 2020,Fairly closely      (+1),403,238,165,67,61,85,64,68,55,64,118,115,85,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 1st to 3rd May 2020,Not very closely    (-1),52,40,13,10,9,15,14,6,1,6,15,20,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 1st to 3rd May 2020,Not at all closely  (-2),22,17,4,-,-,1,11,5,4,1,3,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Not closely,74,57,17,10,9,16,25,12,5,6,18,27,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 1st to 3rd May 2020,Mean,1.7,1.59,1.8,1.67,1.66,1.63,1.55,1.71,1.76,1.83,1.7,1.66,1.7,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 1st to 3rd May 2020,Standard deviation Standard error,0.69,0.82,0.52,0.65,0.65,0.72,0.94,0.7,0.59,0.48,0.65,0.75,0.69,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 93,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 27th to 29th March 2020,Unweighted base,2232,1087,1145,,,,,,,,802,620,311,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,391,367,392,373,499
Table 93,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 27th to 29th March 2020,Weighted base,2232,1089,1143,,,,,,,,609,627,453,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,386,357,395,330,516
Table 93,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 27th to 29th March 2020,NET: Closely,2168,1047,1121,,,,,,,,601,611,426,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,370,348,383,324,512
Table 93,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 27th to 29th March 2020,Very closely        (+2),1826,846,980,,,,,,,,501,503,360,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,314,294,311,273,462
Table 93,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 27th to 29th March 2020,Fairly closely      (+1),342,201,141,,,,,,,,100,108,66,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,56,54,72,51,49
Table 93,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 27th to 29th March 2020,Not very closely    (-1),49,30,19,,,,,,,,6,13,21,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,6,11,5,1
Table 93,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 27th to 29th March 2020,Not at all closely  (-2),15,12,3,,,,,,,,3,4,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,2,2,4
Table 93,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 27th to 29th March 2020,NET: Not closely,64,42,21,,,,,,,,9,17,27,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,9,13,7,4
Table 93,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 27th to 29th March 2020,Mean,1.75,1.69,1.82,,,,,,,,1.79,1.74,1.66,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,1.72,1.76,1.72,1.78,1.87
Table 93,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 27th to 29th March 2020,Standard deviation Standard error,0.63,0.72,0.52,,,,,,,,0.53,0.62,0.81,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.71,0.62,0.65,0.57,0.45
